time,hip_flexion_r_moment,hip_flexion_l_moment,thigh_l_accel_x,thigh_l_accel_y,thigh_l_accel_z,thigh_l_gyro_x,thigh_l_gyro_y,thigh_l_gyro_z,thigh_r_accel_x,thigh_r_accel_y,thigh_r_accel_z,thigh_r_gyro_x,thigh_r_gyro_y,thigh_r_gyro_z,torque_l_mea,torque_r_mea,pelvis_gyro_x,pelvis_gyro_y,pelvis_gyro_z,pelvis_accel_x,pelvis_accel_y,pelvis_accel_z,d_hip_sagittal_l_filt,d_hip_sagittal_r_filt,hip_sagittal_l,hip_sagittal_r,torque_l_cmd,torque_r_cmd,mode_n,mode_l,mode_r,gp_l,gp_r,gp_r_to,gp_l_to,rFP_vy,lFP_vy
28.705,NaN,NaN,-0.89331054687495,-0.056884765624949,-0.20581054687512,12.2680664062446,43.7011718749996,2.6855468749987,-1.08203124999998,-0.0471191406249955,0.644287109374983,20.111083984377,-6.80541992187687,17.6696777343753,-0.2437105365,-0.009961365642,0.153125,0.133349998,0.013125,1.509199992,-9.172799897,0.05880000051,0.5309582969,0.1089767662,-0.01342315139,-0.5622382681,0,0,0,0,0,0.951,0.448,NaN,NaN,NaN,NaN
28.71,NaN,NaN,-0.823486328125,0.014892578125,-0.374267578125,4.669189453125,43.121337890625,0.8544921875,-1.055419921875,-0.040771484375,0.61962890625,22.88818359375,-9.429931640625,18.035888671875,-0.03335532512,0.003631511622,0.153125,0.133349998,0.013125,1.509199992,-9.172799897,0.05880000051,0.5402719787,0.1020114613,-0.00882092776,-0.5622382681,0,0,0,0,0,0.951,0.448,NaN,NaN,NaN,NaN
28.715,NaN,NaN,-0.960449218749903,-0.0595703124999471,-0.26220703125008,7.99560546874764,45.5932617187482,2.44140624999887,-1.11230468749996,-0.0266113281250101,0.626464843749995,22.3388671875004,-12.3291015624979,19.1650390624992,0.02879594122,0.004575826853,0.1520749927,0.1568000007,0.01102499992,1.509199992,-8.859199846,-0.2254000004,0.5504995591,0.09311335129,-0.005752779136,-0.5637723724,0,0,0,0,0,0.95,0.449,NaN,NaN,NaN,NaN
28.72,NaN,NaN,-0.951904296875,-0.058349609375,-0.183349609375,15.68603515625,40.924072265625,4.669189453125,-1.0498046875,-0.012939453125,0.645751953125,20.8740234375,-14.862060546875,19.775390625,-0.0391361244,0.00106714792,0.1520749927,0.1568000007,0.01102499992,1.509199992,-8.859199846,-0.2254000004,0.5609944008,0.08330011607,-0.002684630279,-0.562621824,0,0,0,0,0,0.95,0.449,NaN,NaN,NaN,NaN
28.725,NaN,NaN,-0.816162109375,0.008544921875,-0.3603515625,7.50732421875,41.229248046875,1.77001953125,-1.0634765625,-0.0146484375,0.630126953125,19.195556640625,-18.4326171875,19.10400390625,0.0908727947,0.00566108736,0.1541750073,0.185674994,-0.02100000083,1.538600051,-9.309999883,-0.2939999934,0.5723884541,0.07354818344,0.002301111643,-0.5622382681,0,0,0,0,0,0.954,0.451,NaN,NaN,NaN,NaN
28.73,NaN,NaN,-0.969482421875,-0.038330078125,-0.269287109375,9.46044921875,44.7998046875,2.685546875,-1.0673828125,-0.033447265625,0.619873046875,17.822265625,-21.270751953125,19.622802734375,-0.09146930456,0.01973058289,0.1541750073,0.185674994,-0.02100000083,1.538600051,-9.309999883,-0.2939999934,0.5848736235,0.06472002733,0.006136297656,-0.5618547718,0,0,0,0,0,0.954,0.451,NaN,NaN,NaN,NaN
28.735,NaN,NaN,-0.972778320312499,-0.0538330078124945,-0.26806640625,10.1318359374998,42.7703857421882,2.62451171875002,-1.03979492187501,-0.0396728515624978,0.6195068359375,16.9219970703128,-22.1405029296872,19.8211669921874,-0.1666373922,0.001249318897,0.144550004,0.2026499987,-0.05617500067,1.74440003,-9.643200266,-0.06860000212,0.5977031093,0.05628076244,0.00920444628,-0.5630053203,0,0,0,0,0,0.955,0.452,NaN,NaN,NaN,NaN
28.74,NaN,NaN,-0.97607421875,-0.0693359375,-0.266845703125,10.80322265625,40.740966796875,2.5634765625,-1.01220703125,-0.0458984375,0.619140625,16.021728515625,-23.01025390625,20.01953125,0.1837708834,0.01375285163,0.144550004,0.2026499987,-0.05617500067,1.74440003,-9.643200266,-0.06860000212,0.6104392715,0.04749049916,0.01303963264,-0.5637723724,0,0,0,0,0,0.955,0.452,NaN,NaN,NaN,NaN
28.745,NaN,NaN,-0.964111328125,-0.046630859375,-0.259033203125,13.153076171875,43.426513671875,3.23486328125,-0.988525390625,-0.025390625,0.5947265625,11.1083984375,-23.49853515625,19.47021484375,-0.1236001677,-0.002514531251,0.1370249987,0.205800004,-0.05827499866,1.979600069,-9.280600262,-0.3430000015,0.6227495913,0.03769516607,0.01687481807,-0.564539365,0,0,0,0,0,0.958,0.456,NaN,NaN,NaN,NaN
28.75,NaN,NaN,-0.94970703125,-0.00634765625,-0.313720703125,11.383056640625,41.412353515625,2.227783203125,-0.95556640625,-0.021484375,0.5859375,8.9111328125,-24.993896484375,19.012451171875,0.01118107963,0.02622089215,0.1370249987,0.205800004,-0.05827499866,1.979600069,-9.280600262,-0.3430000015,0.6362148682,0.02769740899,0.02301111625,-0.5637723724,0,0,0,0,0,0.958,0.456,NaN,NaN,NaN,NaN
28.755,NaN,NaN,-0.950439453125,0.018310546875,-0.24853515625,10.955810546875,44.525146484375,3.753662109375,-0.911865234375,-0.093017578125,0.499267578125,9.796142578125,-25.20751953125,21.1181640625,0.09316674105,0.02235716404,0.1370249987,0.2047499967,-0.076474998,2.204999942,-9.545199776,-0.5782000035,0.6504152586,0.01755424791,0.02607926534,-0.564539365,0,0,0,0,0,0.961,0.458,NaN,NaN,NaN,NaN
